selection_rank_global,selection_rank_within_split,tile_id,city_id,city_name,split,tile_row,tile_col,row_offset,col_offset,tile_size,stride,source_width_pixels,source_height_pixels,source_pixel_count,padding_pixel_count,padding_fraction,valid_pixel_count,valid_fraction_all_pixels,valid_fraction_source_pixels,ignore_pixel_count,ignore_fraction_source_pixels,conflict_pixel_count,conflict_fraction_source_pixels,buildings_pixel_count,buildings_fraction_valid,buildings_fraction_source_pixels,roads_pixel_count,roads_fraction_valid,roads_fraction_source_pixels,vegetation_pixel_count,vegetation_fraction_valid,vegetation_fraction_source_pixels,bare_land_pixel_count,bare_land_fraction_valid,bare_land_fraction_source_pixels,water_pixel_count,water_fraction_valid,water_fraction_source_pixels,support_1_pixel_count,support_1_fraction_valid,support_2_pixel_count,support_2_fraction_valid,support_3_pixel_count,support_3_fraction_valid,provenance_1_pixel_count,provenance_2_pixel_count,provenance_3_pixel_count,provenance_4_pixel_count,provenance_5_pixel_count,provenance_6_pixel_count,provenance_7_pixel_count,bounds_left,bounds_bottom,bounds_right,bounds_top,crs,source_sar_path,source_semantic_path,source_validity_path,source_provenance_path,source_support_path,source_conflict_path,coverage_eligible,rule_buildings,rule_roads,rule_bare_land,rule_water,selected,selection_reason,rejection_reason
11,11,DE01_r001_c006,DE01,Mannheim,train,1,6,256,1536,256,256,256,256,65536,0,0.0,43029,0.6565704345703125,0.6565704345703125,22507,0.3434295654296875,7116,0.10858154296875,5217,0.1212438123126263,0.0796051025390625,2460,0.0571707453113016,0.03753662109375,35245,0.8190987473564341,0.5377960205078125,0,0.0,0.0,107,0.0024866950196379,0.0016326904296875,1233,0.0286550930767621,26535,0.6166771247298334,15261,0.3546677821934044,1233,0,4816,0,21577,142,15261,461684.5904690316,5491668.165275654,464244.5904690316,5494228.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,False,False,True,buildings>=0.075000+roads>=0.030000,
12,12,DE01_r001_c007,DE01,Mannheim,train,1,7,256,1792,256,256,256,256,65536,0,0.0,63401,0.9674224853515624,0.9674224853515624,2135,0.0325775146484375,1168,0.017822265625,35,0.0005520417659027,0.0005340576171875,120,0.0018927146259522,0.0018310546875,62982,0.99339127143105,0.961029052734375,264,0.0041639721770949,0.0040283203125,0,0.0,0.0,36,0.0005678143877856,8685,0.1369852210532957,54680,0.8624469645589187,36,0,13,0,7676,996,54680,464244.5904690316,5491668.165275654,466804.5904690316,5494228.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,False,True,False,True,bare_land>=0.001000,
13,13,DE01_r001_c010,DE01,Mannheim,train,1,10,256,2560,256,256,256,256,65536,0,0.0,50851,0.7759246826171875,0.7759246826171875,14685,0.2240753173828125,4793,0.0731353759765625,3147,0.0618866885606969,0.0480194091796875,2155,0.0423787142829049,0.0328826904296875,44174,0.8686948142612732,0.674041748046875,0,0.0,0.0,1375,0.0270397828951249,0.0209808349609375,894,0.0175807752059939,33406,0.6569388999233053,16551,0.3254803248707006,894,0,3035,0,30337,34,16551,471924.5904690316,5491668.165275654,474484.5904690316,5494228.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,True,False,False,True,roads>=0.030000,
14,14,DE01_r002_c001,DE01,Mannheim,train,2,1,512,256,256,256,256,256,65536,0,0.0,53108,0.81036376953125,0.81036376953125,12428,0.18963623046875,3386,0.051666259765625,2608,0.049107479099194,0.039794921875,2625,0.0494275815319725,0.0400543212890625,47875,0.9014649393688332,0.7305145263671875,0,0.0,0.0,0,0.0,0.0,755,0.0142163139263387,24453,0.4604391052195526,27900,0.5253445808541086,755,0,2559,0,21548,346,27900,448884.5904690316,5489108.165275654,451444.5904690316,5491668.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,True,False,False,True,roads>=0.030000,
15,15,DE01_r002_c003,DE01,Mannheim,train,2,3,512,768,256,256,256,256,65536,0,0.0,57399,0.8758392333984375,0.8758392333984375,8137,0.1241607666015625,2771,0.0422821044921875,1216,0.0211850380668652,0.0185546875,1108,0.0193034721859265,0.01690673828125,48664,0.8478196484259307,0.7425537109375,0,0.0,0.0,6411,0.1116918413212773,0.0978240966796875,226,0.0039373508249272,37664,0.656178679071064,19509,0.3398839701040088,226,0,1246,0,36394,24,19509,454004.5904690316,5489108.165275654,456564.5904690316,5491668.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,
16,16,DE01_r002_c004,DE01,Mannheim,train,2,4,512,1024,256,256,256,256,65536,0,0.0,56534,0.862640380859375,0.862640380859375,9002,0.137359619140625,2983,0.0455169677734375,996,0.0176177167722078,0.01519775390625,336,0.0059433261400219,0.005126953125,46841,0.8285456539427601,0.7147369384765625,0,0.0,0.0,8361,0.1478933031450101,0.1275787353515625,373,0.0065977995542505,34677,0.6133830968974422,21484,0.3800191035483072,373,0,1794,0,32808,75,21484,456564.5904690316,5489108.165275654,459124.5904690316,5491668.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,False,False,True,True,water>=0.050000,
17,17,DE01_r003_c000,DE01,Mannheim,train,3,0,768,0,256,256,256,256,65536,0,0.0,54445,0.8307647705078125,0.8307647705078125,11091,0.1692352294921875,6277,0.0957794189453125,1299,0.0238589402148957,0.0198211669921875,839,0.0154100468362567,0.0128021240234375,49333,0.9061070805399944,0.7527618408203125,2974,0.0546239324088529,0.045379638671875,0,0.0,0.0,402,0.0073835981265497,19557,0.3592065387087886,34486,0.6334098631646616,402,0,1308,0,16354,1895,34486,446324.5904690316,5486548.165275654,448884.5904690316,5489108.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,False,False,True,False,True,bare_land>=0.001000,
18,18,DE01_r003_c002,DE01,Mannheim,train,3,2,768,512,256,256,256,256,65536,0,0.0,30703,0.4684906005859375,0.4684906005859375,34833,0.5315093994140625,11326,0.172821044921875,12127,0.3949776894765984,0.1850433349609375,3948,0.1285867830505162,0.06024169921875,14628,0.4764355274728853,0.22320556640625,0,0.0,0.0,0,0.0,0.0,1246,0.040582353515943,21020,0.6846236524118164,8437,0.2747939940722405,1246,0,11782,0,8553,685,8437,451444.5904690316,5486548.165275654,454004.5904690316,5489108.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,False,False,True,buildings>=0.075000+roads>=0.030000,
19,19,DE01_r003_c003,DE01,Mannheim,train,3,3,768,768,256,256,256,256,65536,0,0.0,34946,0.533233642578125,0.533233642578125,30590,0.466766357421875,11683,0.1782684326171875,5541,0.1585589194757626,0.0845489501953125,4262,0.1219595948034109,0.065032958984375,24782,0.709151261947004,0.378143310546875,0,0.0,0.0,361,0.0103302237738224,0.0055084228515625,1278,0.0365707090940307,29465,0.8431580152234877,4203,0.1202712756824815,1278,0,5463,0,23993,9,4203,454004.5904690316,5486548.165275654,456564.5904690316,5489108.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,False,False,True,buildings>=0.075000+roads>=0.030000,
20,20,DE01_r003_c004,DE01,Mannheim,train,3,4,768,1024,256,256,256,256,65536,0,0.0,41117,0.6273956298828125,0.6273956298828125,24419,0.3726043701171875,9671,0.1475677490234375,3326,0.080891115596955,0.050750732421875,2104,0.0511710484714351,0.0321044921875,25267,0.6145146776272588,0.3855438232421875,0,0.0,0.0,10420,0.253423158304351,0.15899658203125,1765,0.0429262835323588,23115,0.5621762288104677,16237,0.3948974876571734,1765,0,2688,0,20312,115,16237,456564.5904690316,5486548.165275654,459124.5904690316,5489108.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,False,True,True,buildings>=0.075000+roads>=0.030000+water>=0.050000,
21,21,DE01_r003_c005,DE01,Mannheim,train,3,5,768,1280,256,256,256,256,65536,0,0.0,33213,0.5067901611328125,0.5067901611328125,32323,0.4932098388671875,11300,0.17242431640625,8074,0.2430975822720019,0.123199462890625,3420,0.1029717279378556,0.05218505859375,17311,0.5212115737813506,0.2641448974609375,4,0.0001204347695179,6.103515625e-05,4404,0.1325986812392738,0.06719970703125,1217,0.0366422786258392,23743,0.71487068316623,8253,0.2484870382079306,1217,0,8047,0,15625,71,8253,459124.5904690316,5486548.165275654,461684.5904690316,5489108.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,False,True,True,buildings>=0.075000+roads>=0.030000+water>=0.050000,
22,22,DE01_r003_c006,DE01,Mannheim,train,3,6,768,1536,256,256,256,256,65536,0,0.0,39118,0.596893310546875,0.596893310546875,26418,0.403106689453125,6153,0.0938873291015625,6490,0.1659082775193005,0.099029541015625,2219,0.0567258039777084,0.0338592529296875,30409,0.777365918502991,0.4640045166015625,0,0.0,0.0,0,0.0,0.0,1722,0.0440206554527327,26673,0.6818600132931132,10723,0.2741193312541541,1722,0,5197,0,21417,59,10723,461684.5904690316,5486548.165275654,464244.5904690316,5489108.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,False,False,True,buildings>=0.075000+roads>=0.030000,
23,23,DE01_r003_c008,DE01,Mannheim,train,3,8,768,2048,256,256,256,256,65536,0,0.0,40607,0.6196136474609375,0.6196136474609375,24929,0.3803863525390625,3314,0.050567626953125,5509,0.135666264437166,0.0840606689453125,3455,0.0850838525377398,0.0527191162109375,30924,0.7615435762306991,0.47186279296875,279,0.0068707365725121,0.0042572021484375,440,0.0108355702218829,0.0067138671875,4491,0.1105966951510823,19735,0.4859999507474081,16381,0.4034033541015095,4491,0,2195,0,16968,572,16381,466804.5904690316,5486548.165275654,469364.5904690316,5489108.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,True,False,True,buildings>=0.075000+roads>=0.030000+bare_land>=0.001000,
24,24,DE01_r003_c009,DE01,Mannheim,train,3,9,768,2304,256,256,256,256,65536,0,0.0,37221,0.5679473876953125,0.5679473876953125,28315,0.4320526123046875,8148,0.12432861328125,9191,0.2469304962252491,0.1402435302734375,3532,0.0948926681174605,0.05389404296875,24498,0.6581768356572902,0.373809814453125,0,0.0,0.0,0,0.0,0.0,2495,0.0670320517987157,21734,0.5839176808790736,12992,0.3490502673222105,2495,0,7779,0,13529,426,12992,469364.5904690316,5486548.165275654,471924.5904690316,5489108.165275654,EPSG:32632,data\processed\sar\DE01_Mannheim\DE01_Mannheim_S1_VV_VH.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_semantic.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_validity.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_provenance.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_support_count.tif,data\interim\labels_v3_1\fused\DE01\DE01_v31_source_conflict.tif,True,True,True,False,False,True,buildings>=0.075000+roads>=0.030000,
