tile_id,city_id,city_name,candidate_id,qa_pass,qa_status,qa_failure_count,qa_failures,image_exists,semantic_exists,validity_exists,image_width,image_height,image_bands,semantic_bands,validity_bands,crs,crs_match,transform_match,bounds_match,sar_all_finite,semantic_values,semantic_values_valid,validity_values,validity_values_valid,padding_fraction,padding_pass,valid_pixel_count_recomputed,valid_fraction_recomputed,buildings_pixel_count_recomputed,roads_pixel_count_recomputed,vegetation_pixel_count_recomputed,bare_land_pixel_count_recomputed,water_pixel_count_recomputed,class_accounting_match,manifest_valid_match,manifest_fraction_match
DE01_off128_r004_c007,DE01,Mannheim,DE01_off128_r004_c007,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,43875,0.6694793701171875,9642,6794,23051,2870,1518,True,True,True
DE01_off128_r005_c003,DE01,Mannheim,DE01_off128_r005_c003,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,47490,0.724639892578125,5982,5269,33440,1087,1712,True,True,True
DE01_off128_r005_c004,DE01,Mannheim,DE01_off128_r005_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,34247,0.5225677490234375,12977,9438,5566,1297,4969,True,True,True
DE01_off128_r005_c005,DE01,Mannheim,DE01_off128_r005_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,42597,0.6499786376953125,17250,9179,10032,688,5448,True,True,True
DE01_off128_r005_c006,DE01,Mannheim,DE01_off128_r005_c006,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,40168,0.6129150390625,6448,5535,23738,371,4076,True,True,True
DE01_off128_r005_c007,DE01,Mannheim,DE01_off128_r005_c007,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,44894,0.685028076171875,6996,6223,27803,124,3748,True,True,True
DE01_off128_r005_c008,DE01,Mannheim,DE01_off128_r005_c008,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,54689,0.8344879150390625,4464,2957,41686,2317,3265,True,True,True
DE01_off128_r006_c003,DE01,Mannheim,DE01_off128_r006_c003,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,42864,0.654052734375,6841,4720,29212,545,1546,True,True,True
DE01_off128_r006_c004,DE01,Mannheim,DE01_off128_r006_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,36456,0.5562744140625,9009,6276,14238,277,6656,True,True,True
DE01_off128_r006_c005,DE01,Mannheim,DE01_off128_r006_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,41123,0.6274871826171875,9884,5916,20219,443,4661,True,True,True
DE01_off128_r006_c006,DE01,Mannheim,DE01_off128_r006_c006,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,37325,0.5695343017578125,9838,8673,18139,634,41,True,True,True
DE01_off128_r006_c007,DE01,Mannheim,DE01_off128_r006_c007,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4",True,"0,1",True,0.0,True,50693,0.7735137939453125,3411,4255,42112,915,0,True,True,True
DE01_off128_r006_c008,DE01,Mannheim,DE01_off128_r006_c008,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,50788,0.77496337890625,5354,4267,38902,684,1581,True,True,True
DE01_off128_r007_c006,DE01,Mannheim,DE01_off128_r007_c006,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,37612,0.57391357421875,9828,5789,11582,686,9727,True,True,True
DE01_off128_r007_c007,DE01,Mannheim,DE01_off128_r007_c007,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,50206,0.766082763671875,2978,3188,42973,585,482,True,True,True
DE01_off128_r008_c010,DE01,Mannheim,DE01_off128_r008_c010,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,38413,0.5861358642578125,9611,6704,17446,1376,3276,True,True,True
DE01_off128_r009_c002,DE01,Mannheim,DE01_off128_r009_c002,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,45357,0.6920928955078125,6868,3943,32075,2181,290,True,True,True
DE01_off128_r009_c008,DE01,Mannheim,DE01_off128_r009_c008,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,39925,0.6092071533203125,10114,6875,21995,289,652,True,True,True
DE01_off128_r010_c008,DE01,Mannheim,DE01_off128_r010_c008,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,46390,0.707855224609375,6988,4817,33761,676,148,True,True,True
DE02_off128_r000_c000,DE02,Heidelberg,DE02_off128_r000_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,35221,0.5374298095703125,14718,8202,11064,1173,64,True,True,True
DE02_off128_r000_c001,DE02,Heidelberg,DE02_off128_r000_c001,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,42860,0.65399169921875,8722,6817,21904,4081,1336,True,True,True
DE02_off128_r001_c000,DE02,Heidelberg,DE02_off128_r001_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,38540,0.58807373046875,8443,5862,19878,361,3996,True,True,True
DE02_off128_r001_c001,DE02,Heidelberg,DE02_off128_r001_c001,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,43924,0.67022705078125,7475,6180,25999,563,3707,True,True,True
DE02_off128_r001_c002,DE02,Heidelberg,DE02_off128_r001_c002,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,54859,0.8370819091796875,4226,3198,43059,1892,2484,True,True,True
DE02_off128_r002_c000,DE02,Heidelberg,DE02_off128_r002_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,36146,0.551544189453125,11940,8734,14879,553,40,True,True,True
DE02_off128_r002_c001,DE02,Heidelberg,DE02_off128_r002_c001,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4",True,"0,1",True,0.0,True,51205,0.7813262939453125,2752,5449,41835,1169,0,True,True,True
DE02_off128_r002_c002,DE02,Heidelberg,DE02_off128_r002_c002,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,50305,0.7675933837890625,6038,4220,37319,582,2146,True,True,True
DE02_off128_r003_c000,DE02,Heidelberg,DE02_off128_r003_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,41067,0.6266326904296875,9296,5567,16837,310,9057,True,True,True
DE02_off128_r003_c001,DE02,Heidelberg,DE02_off128_r003_c001,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,45079,0.6878509521484375,5031,4410,33610,815,1213,True,True,True
DE02_off128_r003_c005,DE02,Heidelberg,DE02_off128_r003_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,50303,0.7675628662109375,6143,3549,39870,716,25,True,True,True
DE02_off128_r004_c001,DE02,Heidelberg,DE02_off128_r004_c001,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,42454,0.647796630859375,7369,6165,26858,578,1484,True,True,True
DE02_off128_r004_c004,DE02,Heidelberg,DE02_off128_r004_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,42706,0.651641845703125,8378,6251,24907,293,2877,True,True,True
DE02_off128_r004_c005,DE02,Heidelberg,DE02_off128_r004_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,38394,0.585845947265625,12831,6290,13475,1376,4422,True,True,True
DE02_off128_r005_c002,DE02,Heidelberg,DE02_off128_r005_c002,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,40925,0.6244659423828125,9163,6528,24406,411,417,True,True,True
DE02_off128_r005_c004,DE02,Heidelberg,DE02_off128_r005_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,43193,0.6590728759765625,9110,6211,27419,444,9,True,True,True
DE02_off128_r005_c005,DE02,Heidelberg,DE02_off128_r005_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,35669,0.5442657470703125,10811,7426,14398,2874,160,True,True,True
DE02_off128_r006_c002,DE02,Heidelberg,DE02_off128_r006_c002,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,46589,0.7108917236328125,7285,4861,33191,802,450,True,True,True
DE02_off128_r006_c005,DE02,Heidelberg,DE02_off128_r006_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,41551,0.6340179443359375,10797,6302,23701,733,18,True,True,True
DE02_off128_r007_c005,DE02,Heidelberg,DE02_off128_r007_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,40331,0.6154022216796875,9171,6032,24427,120,581,True,True,True
DE02_off128_r009_c005,DE02,Heidelberg,DE02_off128_r009_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,54558,0.832489013671875,3788,2814,46054,1496,406,True,True,True
DE02_off128_r009_c006,DE02,Heidelberg,DE02_off128_r009_c006,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,51800,0.7904052734375,3832,2986,39815,5040,127,True,True,True
DE03_off128_r000_c010,DE03,Karlsruhe,DE03_off128_r000_c010,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,35008,0.5341796875,11420,6332,16319,805,132,True,True,True
DE03_off128_r002_c002,DE03,Karlsruhe,DE03_off128_r002_c002,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,50559,0.7714691162109375,3327,2234,30730,2055,12213,True,True,True
DE03_off128_r002_c004,DE03,Karlsruhe,DE03_off128_r002_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,54859,0.8370819091796875,2868,1989,44091,607,5304,True,True,True
DE03_off128_r003_c001,DE03,Karlsruhe,DE03_off128_r003_c001,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,48247,0.7361907958984375,6052,5133,30216,115,6731,True,True,True
DE03_off128_r003_c003,DE03,Karlsruhe,DE03_off128_r003_c003,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,42547,0.6492156982421875,3729,4079,29764,887,4088,True,True,True
DE03_off128_r003_c008,DE03,Karlsruhe,DE03_off128_r003_c008,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,53379,0.8144989013671875,4318,2795,44928,752,586,True,True,True
DE03_off128_r004_c003,DE03,Karlsruhe,DE03_off128_r004_c003,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,44085,0.6726837158203125,8479,6100,24024,2172,3310,True,True,True
DE03_off128_r004_c004,DE03,Karlsruhe,DE03_off128_r004_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,34861,0.5319366455078125,9612,6366,17795,1000,88,True,True,True
DE03_off128_r005_c003,DE03,Karlsruhe,DE03_off128_r005_c003,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,38900,0.59356689453125,11846,7617,16270,330,2837,True,True,True
DE03_off128_r005_c004,DE03,Karlsruhe,DE03_off128_r005_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,37074,0.565704345703125,16022,9101,11071,336,544,True,True,True
DE03_off128_r005_c005,DE03,Karlsruhe,DE03_off128_r005_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,42773,0.6526641845703125,17227,8096,14377,2720,353,True,True,True
DE03_off128_r005_c006,DE03,Karlsruhe,DE03_off128_r005_c006,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,43051,0.6569061279296875,10447,8135,23909,452,108,True,True,True
DE03_off128_r008_c001,DE03,Karlsruhe,DE03_off128_r008_c001,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,42472,0.6480712890625,6163,5174,27890,633,2612,True,True,True
DE03_off128_r009_c008,DE03,Karlsruhe,DE03_off128_r009_c008,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,51117,0.7799835205078125,4461,2990,43063,551,52,True,True,True
DE03_off128_r010_c000,DE03,Karlsruhe,DE03_off128_r010_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,52147,0.7957000732421875,3364,2689,44588,1456,50,True,True,True
DE03_off128_r010_c001,DE03,Karlsruhe,DE03_off128_r010_c001,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,52392,0.7994384765625,5571,2542,37405,2891,3983,True,True,True
DE03_off128_r011_c007,DE03,Karlsruhe,DE03_off128_r011_c007,False,rejected,1,padding_fraction_exceeds_limit,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5,255",True,"0,1",True,0.78125,False,14319,0.2184906005859375,3,54,13308,953,1,True,True,True
DE04_off128_r000_c001,DE04,Stuttgart,DE04_off128_r000_c001,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,62902,0.959808349609375,366,1317,55527,5682,10,True,True,True
DE04_off128_r000_c002,DE04,Stuttgart,DE04_off128_r000_c002,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,49758,0.759246826171875,5355,3733,38869,1735,66,True,True,True
DE04_off128_r000_c004,DE04,Stuttgart,DE04_off128_r000_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,46860,0.71502685546875,7813,5367,32866,789,25,True,True,True
DE04_off128_r000_c005,DE04,Stuttgart,DE04_off128_r000_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,37697,0.5752105712890625,12891,6753,17683,318,52,True,True,True
DE04_off128_r001_c005,DE04,Stuttgart,DE04_off128_r001_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,35345,0.5393218994140625,9403,6105,19534,222,81,True,True,True
DE04_off128_r002_c000,DE04,Stuttgart,DE04_off128_r002_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,60418,0.921905517578125,1592,1169,53403,4252,2,True,True,True
DE04_off128_r002_c004,DE04,Stuttgart,DE04_off128_r002_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,41859,0.6387176513671875,10677,6845,24011,321,5,True,True,True
DE04_off128_r002_c005,DE04,Stuttgart,DE04_off128_r002_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,43418,0.662506103515625,6384,4527,31974,487,46,True,True,True
DE04_off128_r002_c009,DE04,Stuttgart,DE04_off128_r002_c009,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,46749,0.7133331298828125,6353,4899,33787,793,917,True,True,True
DE04_off128_r003_c002,DE04,Stuttgart,DE04_off128_r003_c002,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,47000,0.7171630859375,6487,4734,35095,674,10,True,True,True
DE04_off128_r003_c005,DE04,Stuttgart,DE04_off128_r003_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,37994,0.579742431640625,8748,6361,22209,615,61,True,True,True
DE04_off128_r003_c006,DE04,Stuttgart,DE04_off128_r003_c006,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,37665,0.5747222900390625,9339,6202,18365,536,3223,True,True,True
DE04_off128_r003_c008,DE04,Stuttgart,DE04_off128_r003_c008,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,42100,0.64239501953125,10327,6313,25170,191,99,True,True,True
DE04_off128_r004_c000,DE04,Stuttgart,DE04_off128_r004_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,37483,0.5719451904296875,11751,7185,18280,128,139,True,True,True
DE04_off128_r004_c005,DE04,Stuttgart,DE04_off128_r004_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,36631,0.5589447021484375,10951,6665,17274,1347,394,True,True,True
DE04_off128_r004_c006,DE04,Stuttgart,DE04_off128_r004_c006,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,34431,0.5253753662109375,13454,9096,7868,1015,2998,True,True,True
DE04_off128_r004_c007,DE04,Stuttgart,DE04_off128_r004_c007,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,48116,0.73419189453125,5801,4062,36856,1376,21,True,True,True
DE04_off128_r004_c009,DE04,Stuttgart,DE04_off128_r004_c009,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,48831,0.7451019287109375,3976,2594,41714,507,40,True,True,True
DE04_off128_r005_c004,DE04,Stuttgart,DE04_off128_r005_c004,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,39430,0.601654052734375,14743,7493,16988,109,97,True,True,True
DE04_off128_r005_c005,DE04,Stuttgart,DE04_off128_r005_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,39386,0.600982666015625,15832,8748,14153,552,101,True,True,True
DE04_off128_r005_c007,DE04,Stuttgart,DE04_off128_r005_c007,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,44663,0.6815032958984375,9357,5708,25250,449,3899,True,True,True
DE04_off128_r006_c007,DE04,Stuttgart,DE04_off128_r006_c007,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,50470,0.770111083984375,8868,4242,33661,1485,2214,True,True,True
DE04_off128_r006_c008,DE04,Stuttgart,DE04_off128_r006_c008,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,44896,0.68505859375,8034,4373,29933,711,1845,True,True,True
DE04_off128_r007_c000,DE04,Stuttgart,DE04_off128_r007_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,52778,0.805328369140625,3684,3132,43878,1996,88,True,True,True
DE04_off128_r007_c003,DE04,Stuttgart,DE04_off128_r007_c003,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,33589,0.5125274658203125,11797,6612,14719,291,170,True,True,True
DE04_off128_r007_c009,DE04,Stuttgart,DE04_off128_r007_c009,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,37775,0.5764007568359375,11120,6724,16746,8,3177,True,True,True
DE04_off128_r008_c000,DE04,Stuttgart,DE04_off128_r008_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,35958,0.548675537109375,13631,8144,11638,2202,343,True,True,True
DE04_off128_r008_c005,DE04,Stuttgart,DE04_off128_r008_c005,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,54378,0.829742431640625,4345,3868,44436,1533,196,True,True,True
DE04_off128_r009_c000,DE04,Stuttgart,DE04_off128_r009_c000,True,accepted,0,,True,True,True,256,256,2,1,1,EPSG:32632,True,True,True,True,"0,1,2,3,4,5",True,"0,1",True,0.0,True,31512,0.4808349609375,11468,7563,11332,456,693,True,True,True
