sample_type,city_id,city_name,split,stratum,x,y,crs,pixel_row,pixel_col,highway,estimated_width_m,bare_tier,osm_bare,dw_bare,ua_bare,ua_code,vv,vh,review_decision,review_notes
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|secondary_link,464019.5693594905,5485747.78225196,EPSG:32632,1104,1769,secondary_link,3.2,,,,,,0.12058040499687195,0.023931141942739487,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|secondary_link,468023.87460676255,5483029.8083819235,EPSG:32632,1375,2169,secondary_link,3.2,,,,,,0.053797926753759384,0.009082935750484467,,
road,DE01,Mannheim,train,likely_ignore_candidate|one_to_two_pixels_10_20m|service,456486.87087118137,5476605.783651324,EPSG:32632,2018,1016,service,10.5,,,,,,0.07665213942527771,0.038569673895835876,,
road,DE01,Mannheim,train,likely_ignore_candidate|one_to_two_pixels_10_20m|service,461699.3719098795,5480532.231406704,EPSG:32632,1625,1537,service,10.0,,,,,,1.5309580564498901,0.7520190477371216,,
road,DE01,Mannheim,train,likely_ignore_candidate|subpixel_lt_10m|service,467669.47607351525,5479576.568568749,EPSG:32632,1721,2134,service,5.0,,,,,,0.2837730348110199,0.06136050820350647,,
road,DE01,Mannheim,train,likely_ignore_candidate|subpixel_lt_10m|service,470052.16968496714,5474510.272979593,EPSG:32632,2227,2372,service,5.0,,,,,,0.061239760369062424,0.03190562501549721,,
road,DE01,Mannheim,train,manual_review_candidate|one_to_two_pixels_10_20m|tertiary,462256.04618348915,5474608.063928997,EPSG:32632,2218,1593,tertiary,10.0,,,,,,0.04491957649588585,0.009126696735620499,,
road,DE01,Mannheim,train,manual_review_candidate|one_to_two_pixels_10_20m|tertiary,446877.6655002194,5475620.564775246,EPSG:32632,2116,55,tertiary,10.0,,,,,,0.4299222528934479,0.13175369799137115,,
road,DE01,Mannheim,train,manual_review_candidate|subpixel_lt_10m|tertiary,463996.1821122038,5482282.150916428,EPSG:32632,1450,1767,tertiary,5.0,,,,,,0.10000878572463989,0.02707933634519577,,
road,DE01,Mannheim,train,manual_review_candidate|subpixel_lt_10m|tertiary,451564.2425600658,5494901.57025073,EPSG:32632,188,523,tertiary,6.4,,,,,,0.2618322968482971,0.032731037586927414,,
road,DE01,Mannheim,train,manual_review_candidate|one_to_two_pixels_10_20m|tertiary_link,470826.5012046102,5479712.94618278,EPSG:32632,1707,2450,tertiary_link,12.0,,,,,,0.08308134227991104,0.015607239678502083,,
road,DE01,Mannheim,train,manual_review_candidate|one_to_two_pixels_10_20m|tertiary_link,470822.8674711989,5479702.748419748,EPSG:32632,1708,2449,tertiary_link,12.0,,,,,,0.06967844069004059,0.0101389791816473,,
road,DE01,Mannheim,train,manual_review_candidate|subpixel_lt_10m|tertiary_link,474332.2794686755,5494739.449128186,EPSG:32632,204,2800,tertiary_link,3.2,,,,,,0.04734918847680092,0.009533911012113094,,
road,DE01,Mannheim,train,manual_review_candidate|subpixel_lt_10m|tertiary_link,462075.65736323583,5480308.847725321,EPSG:32632,1647,1575,tertiary_link,3.2,,,,,,1.720415711402893,1.5254586935043335,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|trunk,457176.2433537947,5474633.374480967,EPSG:32632,2215,1085,trunk,10.5,,,,,,0.19035717844963074,0.011419079266488552,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|trunk,473724.91509774467,5468829.1885324055,EPSG:32632,2795,2740,trunk,12.0,,,,,,0.041680242866277695,0.008858718909323215,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|trunk,470899.4985949731,5469679.956049375,EPSG:32632,2710,2457,trunk,6.4,,,,,,0.04272913187742233,0.014219806529581547,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|trunk,458639.4553232258,5480692.665858129,EPSG:32632,1609,1231,trunk,8.0,,,,,,0.22327151894569397,0.033909618854522705,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|trunk_link,457305.8336999281,5485397.306702607,EPSG:32632,1139,1098,trunk_link,12.5,,,,,,0.05788758769631386,0.012096266262233257,,
road,DE01,Mannheim,train,retain_major_candidate|one_to_two_pixels_10_20m|trunk_link,464837.9470334847,5478821.502374486,EPSG:32632,1796,1851,trunk_link,10.5,,,,,,0.07110351324081421,0.019916202872991562,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|trunk_link,460409.37755171536,5480932.245305614,EPSG:32632,1585,1408,trunk_link,3.5,,,,,,0.18742156028747559,0.04792191833257675,,
road,DE01,Mannheim,train,retain_major_candidate|subpixel_lt_10m|trunk_link,472616.04778032296,5468629.465731882,EPSG:32632,2815,2629,trunk_link,3.2,,,,,,0.06167001649737358,0.008197294548153877,,
road,DE01,Mannheim,train,manual_review_candidate|one_to_two_pixels_10_20m|unclassified,467135.00732516404,5473451.784626184,EPSG:32632,2333,2081,unclassified,12.8,,,,,,0.09309367835521698,0.008643679320812225,,
road,DE01,Mannheim,train,manual_review_candidate|one_to_two_pixels_10_20m|unclassified,463498.06711100275,5483577.784714278,EPSG:32632,1321,1717,unclassified,10.0,,,,,,0.1949583739042282,0.033450983464717865,,
road,DE01,Mannheim,train,manual_review_candidate|subpixel_lt_10m|unclassified,467957.1591462557,5488489.874733643,EPSG:32632,829,2163,unclassified,6.4,,,,,,0.09983863681554794,0.017017507925629616,,
road,DE01,Mannheim,train,manual_review_candidate|subpixel_lt_10m|unclassified,476109.50090725976,5472300.913179366,EPSG:32632,2448,2978,unclassified,5.6,,,,,,0.3064430058002472,0.0056993491016328335,,
road,DE01,Mannheim,train,manual_review_candidate|two_plus_pixels_ge_20m|unclassified,465656.91302379663,5483514.046786889,EPSG:32632,1327,1933,unclassified,40.0,,,,,,0.16299450397491455,0.020570101216435432,,
road,DE01,Mannheim,train,manual_review_candidate|two_plus_pixels_ge_20m|unclassified,465646.24322294665,5483509.30548485,EPSG:32632,1327,1932,unclassified,40.0,,,,,,0.16653747856616974,0.020376328378915787,,
bare_land,DE01,Mannheim,train,current_v3,452599.5904690316,5474313.165275654,EPSG:32632,2247,627,,,current_v3,1,0,1,13100,0.3824995458126068,0.049671586602926254,,
bare_land,DE01,Mannheim,train,current_v3,459349.5904690316,5476673.165275654,EPSG:32632,2011,1302,,,current_v3,1,0,1,13100,0.24525733292102814,0.014948742464184761,,
bare_land,DE01,Mannheim,train,tier2_osm_dw_new,457329.5904690316,5492963.165275654,EPSG:32632,382,1100,,,tier2_osm_dw_new,1,1,0,21000,0.0508861243724823,0.0022858032025396824,,
bare_land,DE01,Mannheim,train,tier2_osm_dw_new,457339.5904690316,5492973.165275654,EPSG:32632,381,1101,,,tier2_osm_dw_new,1,1,0,21000,0.05073203518986702,0.003048510290682316,,
bare_land,DE01,Mannheim,train,single_source_osm,462389.5904690316,5486393.165275654,EPSG:32632,1039,1606,,,single_source_osm,1,0,0,12230,0.14560389518737793,0.03151155635714531,,
bare_land,DE01,Mannheim,train,single_source_osm,475849.5904690316,5471033.165275654,EPSG:32632,2575,2952,,,single_source_osm,1,0,0,0,0.04626765102148056,0.003146341536194086,,
bare_land,DE01,Mannheim,train,single_source_dw,455109.5904690316,5493153.165275654,EPSG:32632,363,878,,,single_source_dw,0,1,0,21000,0.034553222358226776,0.0027413617353886366,,
bare_land,DE01,Mannheim,train,single_source_dw,455109.5904690316,5493143.165275654,EPSG:32632,364,878,,,single_source_dw,0,1,0,21000,0.02971845306456089,0.002737329574301839,,
bare_land,DE01,Mannheim,train,single_source_ua,459039.5904690316,5477233.165275654,EPSG:32632,1955,1271,,,single_source_ua,0,0,1,13100,0.05147628113627434,0.008761377073824406,,
bare_land,DE01,Mannheim,train,single_source_ua,460469.5904690316,5489213.165275654,EPSG:32632,757,1414,,,single_source_ua,0,0,1,13100,0.05103731527924538,0.00810758676379919,,
road,DE02,Heidelberg,train,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,462417.5153657907,5479949.127237888,EPSG:32632,689,118,living_street,10.5,,,,,,0.12723040580749512,0.04449070617556572,,
road,DE02,Heidelberg,train,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,463355.91626774904,5483859.3210944915,EPSG:32632,298,212,living_street,12.0,,,,,,0.309291273355484,0.15342356264591217,,
road,DE02,Heidelberg,train,likely_ignore_candidate|subpixel_lt_10m|living_street,466341.6162542487,5473065.164229484,EPSG:32632,1377,511,living_street,6.0,,,,,,3.719857692718506,0.030378155410289764,,
road,DE02,Heidelberg,train,likely_ignore_candidate|subpixel_lt_10m|living_street,471288.8245294439,5483339.71286728,EPSG:32632,350,1005,living_street,6.0,,,,,,0.6316318511962891,0.026089036837220192,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway,466872.3319810786,5480336.804788237,EPSG:32632,650,564,motorway,11.5,,,,,,0.1523885279893875,0.006774457637220621,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway,469343.2653175203,5462427.815947158,EPSG:32632,2441,811,motorway,11.8,,,,,,0.019794262945652008,0.004818922374397516,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|motorway,466915.3910573092,5471541.454063391,EPSG:32632,1530,568,motorway,7.5,,,,,,0.08005932718515396,0.008060802705585957,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|motorway,473741.40994356445,5470445.346279103,EPSG:32632,1639,1251,motorway,8.0,,,,,,0.8200494647026062,0.008221040479838848,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway_link,472478.6899455573,5461167.252513817,EPSG:32632,2567,1124,motorway_link,11.0,,,,,,0.032014455646276474,0.013288291171193123,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|motorway_link,472862.98063159955,5461206.03591259,EPSG:32632,2563,1163,motorway_link,10.55,,,,,,0.1018534004688263,0.007545155007392168,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|motorway_link,467144.3409340718,5467722.957001682,EPSG:32632,1911,591,motorway_link,3.2,,,,,,0.05416916310787201,0.005310738924890757,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|motorway_link,473120.7857326941,5463598.0980597325,EPSG:32632,2324,1189,motorway_link,3.2,,,,,,0.08279683440923691,0.01969134621322155,,
road,DE02,Heidelberg,train,likely_ignore_candidate|subpixel_lt_10m|pedestrian,464624.3636707559,5480550.498489613,EPSG:32632,629,339,pedestrian,5.0,,,,,,0.30027642846107483,0.04761214926838875,,
road,DE02,Heidelberg,train,likely_ignore_candidate|subpixel_lt_10m|pedestrian,471667.6685220063,5479986.643674928,EPSG:32632,685,1043,pedestrian,5.0,,,,,,0.19332878291606903,0.07536542415618896,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|primary,473193.50972455245,5460863.638942596,EPSG:32632,2597,1196,primary,17.0,,,,,,0.041576988995075226,0.009624859318137169,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|primary,462393.94773682655,5482064.689020472,EPSG:32632,477,116,primary,10.5,,,,,,0.14826583862304688,0.05173799768090248,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|primary,463454.8577964172,5480551.796855187,EPSG:32632,628,222,primary,9.600000000000001,,,,,,0.04993710666894913,0.010601774789392948,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|primary,473328.0165047494,5461022.612608564,EPSG:32632,2581,1209,primary,9.600000000000001,,,,,,0.06704030185937881,0.008884632959961891,,
road,DE02,Heidelberg,train,retain_major_candidate|two_plus_pixels_ge_20m|primary,473223.9939660421,5460840.405187791,EPSG:32632,2600,1199,primary,24.0,,,,,,0.0308421291410923,0.003352399682626128,,
road,DE02,Heidelberg,train,retain_major_candidate|two_plus_pixels_ge_20m|primary,473252.90459720785,5460817.97963639,EPSG:32632,2602,1202,primary,24.0,,,,,,0.03241366520524025,0.004680445417761803,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|primary_link,475026.1654530761,5481045.712836841,EPSG:32632,579,1379,primary_link,12.8,,,,,,0.03396747633814812,0.007712624501436949,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|primary_link,476413.17558805615,5460922.737152396,EPSG:32632,2591,1518,primary_link,3.2,,,,,,0.07120617479085922,0.014890816994011402,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|primary_link,474409.9499674634,5469315.2873798255,EPSG:32632,1752,1317,primary_link,5.0,,,,,,0.03784962370991707,0.01374982763081789,,
road,DE02,Heidelberg,train,manual_review_candidate|one_to_two_pixels_10_20m|residential,464862.6720720896,5478768.400257216,EPSG:32632,807,363,residential,12.8,,,,,,0.1059204488992691,0.01307985931634903,,
road,DE02,Heidelberg,train,manual_review_candidate|one_to_two_pixels_10_20m|residential,486320.80728080106,5462793.699584167,EPSG:32632,2404,2509,residential,12.0,,,,,,0.23630698025226593,0.05230377987027168,,
road,DE02,Heidelberg,train,manual_review_candidate|subpixel_lt_10m|residential,476979.4228907611,5475314.570412698,EPSG:32632,1152,1574,residential,8.0,,,,,,0.8652733564376831,0.11973751336336136,,
road,DE02,Heidelberg,train,manual_review_candidate|subpixel_lt_10m|residential,481912.63288995536,5475710.462329227,EPSG:32632,1113,2068,residential,8.0,,,,,,0.20068472623825073,0.028651637956500053,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|secondary,477494.4609053609,5471867.766816907,EPSG:32632,1497,1626,secondary,12.0,,,,,,0.17084576189517975,0.03028182126581669,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|secondary,484227.37935676187,5467276.228493163,EPSG:32632,1956,2299,secondary,12.0,,,,,,0.14222581684589386,0.06492092460393906,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|secondary,483904.32593739394,5486072.576132864,EPSG:32632,76,2267,secondary,6.4,,,,,,0.1157945990562439,0.01893516257405281,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|secondary,464246.8520139917,5485536.53002996,EPSG:32632,130,301,secondary,6.4,,,,,,0.1045486330986023,0.03657850995659828,,
road,DE02,Heidelberg,train,retain_major_candidate|two_plus_pixels_ge_20m|secondary,466481.66479106946,5463880.284223609,EPSG:32632,2296,525,secondary,21.5,,,,,,0.09972125291824341,0.015737151727080345,,
road,DE02,Heidelberg,train,retain_major_candidate|two_plus_pixels_ge_20m|secondary,466496.37184924097,5463843.312074622,EPSG:32632,2299,526,secondary,21.5,,,,,,0.08422331511974335,0.01519760861992836,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|secondary_link,467022.7457288682,5485267.600651858,EPSG:32632,157,579,secondary_link,12.8,,,,,,0.09395147860050201,0.018246207386255264,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|secondary_link,477427.35137133964,5459074.93039661,EPSG:32632,2776,1619,secondary_link,12.0,,,,,,0.041561078280210495,0.00858997367322445,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|secondary_link,467039.22993060795,5469214.945514986,EPSG:32632,1762,580,secondary_link,6.4,,,,,,0.07958249002695084,0.0261637344956398,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|secondary_link,469075.7365221544,5477752.028541644,EPSG:32632,908,784,secondary_link,6.4,,,,,,0.05964784324169159,0.007232882548123598,,
road,DE02,Heidelberg,train,likely_ignore_candidate|one_to_two_pixels_10_20m|service,462025.10445194016,5457168.04518893,EPSG:32632,2967,79,service,12.0,,,,,,0.05734558403491974,0.006208301987498999,,
road,DE02,Heidelberg,train,likely_ignore_candidate|one_to_two_pixels_10_20m|service,465318.7075790267,5483323.76922697,EPSG:32632,351,408,service,10.0,,,,,,0.040228862315416336,0.005013287533074617,,
road,DE02,Heidelberg,train,likely_ignore_candidate|subpixel_lt_10m|service,478625.7812203192,5480437.820488628,EPSG:32632,640,1739,service,5.0,,,,,,0.22223567962646484,0.028992241248488426,,
road,DE02,Heidelberg,train,likely_ignore_candidate|subpixel_lt_10m|service,463950.2190408281,5486703.5795063,EPSG:32632,13,271,service,5.0,,,,,,0.3571355938911438,0.03340083360671997,,
road,DE02,Heidelberg,train,manual_review_candidate|one_to_two_pixels_10_20m|tertiary,477329.97727420233,5473414.692060424,EPSG:32632,1342,1609,tertiary,10.0,,,,,,0.24237152934074402,0.06183813884854317,,
road,DE02,Heidelberg,train,manual_review_candidate|one_to_two_pixels_10_20m|tertiary,477516.6840963687,5473450.0478613265,EPSG:32632,1339,1628,tertiary,10.0,,,,,,0.2439119964838028,0.05849280208349228,,
road,DE02,Heidelberg,train,manual_review_candidate|subpixel_lt_10m|tertiary,477641.13385848986,5471975.688974066,EPSG:32632,1486,1641,tertiary,6.4,,,,,,0.553024172782898,0.03736891970038414,,
road,DE02,Heidelberg,train,manual_review_candidate|subpixel_lt_10m|tertiary,482675.8030729969,5481601.735105314,EPSG:32632,523,2144,tertiary,6.4,,,,,,0.2360050231218338,0.019784221425652504,,
road,DE02,Heidelberg,train,manual_review_candidate|one_to_two_pixels_10_20m|tertiary_link,470826.5012046102,5479712.94618278,EPSG:32632,712,959,tertiary_link,12.0,,,,,,0.08582131564617157,0.0142748998478055,,
road,DE02,Heidelberg,train,manual_review_candidate|one_to_two_pixels_10_20m|tertiary_link,470822.8674711989,5479702.748419748,EPSG:32632,713,959,tertiary_link,12.0,,,,,,0.07745542377233505,0.014596452005207539,,
road,DE02,Heidelberg,train,manual_review_candidate|subpixel_lt_10m|tertiary_link,484380.4562427235,5457637.233662381,EPSG:32632,2920,2315,tertiary_link,3.2,,,,,,0.05996124446392059,0.00994891207665205,,
road,DE02,Heidelberg,train,manual_review_candidate|subpixel_lt_10m|tertiary_link,461756.4690661319,5483052.763233248,EPSG:32632,378,52,tertiary_link,3.2,,,,,,0.2777251601219177,0.09734801948070526,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|trunk,464677.84504458157,5478728.606267421,EPSG:32632,811,344,trunk,11.0,,,,,,0.19061264395713806,0.03701304271817207,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|trunk,466661.05217510636,5473859.524251099,EPSG:32632,1298,543,trunk,10.5,,,,,,0.05528710037469864,0.02004939317703247,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|trunk,467193.9640395546,5466150.598387102,EPSG:32632,2069,596,trunk,6.4,,,,,,0.044380635023117065,0.007833505980670452,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|trunk,464459.9041896163,5479910.583519148,EPSG:32632,693,322,trunk,6.4,,,,,,0.09432297945022583,0.016971785575151443,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|trunk_link,464837.9470334847,5478821.502374486,EPSG:32632,802,360,trunk_link,10.5,,,,,,0.0768168717622757,0.014816074632108212,,
road,DE02,Heidelberg,train,retain_major_candidate|one_to_two_pixels_10_20m|trunk_link,464902.7741149943,5478920.378731351,EPSG:32632,792,367,trunk_link,10.5,,,,,,0.20729956030845642,0.02603817917406559,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|trunk_link,469598.9508595384,5471218.185214794,EPSG:32632,1562,836,trunk_link,3.2,,,,,,0.0702451691031456,0.011421209201216698,,
road,DE02,Heidelberg,train,retain_major_candidate|subpixel_lt_10m|trunk_link,465438.11671207665,5476386.463851242,EPSG:32632,1045,420,trunk_link,9.0,,,,,,0.11489210277795792,0.01575278677046299,,
road,DE02,Heidelberg,train,manual_review_candidate|one_to_two_pixels_10_20m|unclassified,463749.38959512615,5478807.2151184175,EPSG:32632,803,251,unclassified,10.0,,,,,,0.2768396735191345,0.04322575777769089,,
road,DE02,Heidelberg,train,manual_review_candidate|one_to_two_pixels_10_20m|unclassified,467134.8429585955,5473448.572606022,EPSG:32632,1339,590,unclassified,12.8,,,,,,0.09332948923110962,0.008032148703932762,,
road,DE02,Heidelberg,train,manual_review_candidate|subpixel_lt_10m|unclassified,478919.8732315658,5478034.431756304,EPSG:32632,880,1768,unclassified,6.0,,,,,,0.08410711586475372,0.028415117412805557,,
road,DE02,Heidelberg,train,manual_review_candidate|subpixel_lt_10m|unclassified,471406.6613553916,5478036.733495761,EPSG:32632,880,1017,unclassified,5.5,,,,,,0.12084230780601501,0.018609924241900444,,
road,DE02,Heidelberg,train,manual_review_candidate|two_plus_pixels_ge_20m|unclassified,465656.91302379663,5483514.046786889,EPSG:32632,332,442,unclassified,40.0,,,,,,0.14529258012771606,0.019755922257900238,,
road,DE02,Heidelberg,train,manual_review_candidate|two_plus_pixels_ge_20m|unclassified,465646.24322294665,5483509.30548485,EPSG:32632,333,441,unclassified,40.0,,,,,,0.19950492680072784,0.01705731824040413,,
