system:index,anchor_candidate_count,city_id,city_name,m01_observation_count,m02_observation_count,m03_observation_count,m04_observation_count,m05_observation_count,m06_observation_count,m07_observation_count,m08_observation_count,m09_observation_count,m10_observation_count,m11_observation_count,m12_observation_count,orbit_pass,registry_anchor_time,relative_orbit,selected_anchor_product,selected_anchor_time_ms,split,.geo
10,1,DE11,Hamburg,2,3,4,3,8,7,8,7,7,8,6,7,DESCENDING,2025-07-20T05:33:30.509183Z,66.0,S1A_IW_GRDH_1SDV_20250720T053330_20250720T053355_060163_0779C8_FF0D,1.75298961E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1,DE12,Bremen,3,2,3,3,5,5,6,5,5,5,5,5,DESCENDING,2025-07-13T05:41:53.614671Z,139.0,S1A_IW_GRDH_1SDV_20250713T054153_20250713T054218_060061_077642_CE03,1.752385313E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1,DE13,Hanover,3,2,3,2,5,5,6,5,5,5,5,5,DESCENDING,2025-07-13T05:41:53.614671Z,139.0,S1A_IW_GRDH_1SDV_20250713T054153_20250713T054218_060061_077642_CE03,1.752385313E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1,DE14,Berlin,3,2,3,6,5,5,6,5,5,5,5,5,ASCENDING,2025-07-13T16:52:26.091744Z,146.0,S1A_IW_GRDH_1SDV_20250713T165226_20250713T165251_060068_077680_45F9,1.752425546E12,train,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1,DE15,Leipzig,3,2,3,5,5,5,5,5,5,6,5,5,DESCENDING,2025-07-15T05:25:43.008234Z,168.0,S1A_IW_GRDH_1SDV_20250715T052543_20250715T052608_060090_077749_0C2C,1.752557143E12,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2,DE16,Dresden,4,6,5,10,7,8,7,7,7,8,7,9,DESCENDING,2025-07-10T05:17:34.350556Z,95.0,S1A_IW_GRDH_1SDV_20250710T051734_20250710T051759_060017_0774C4_071F,1.752124654E12,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1,DE17,Munster,3,2,3,2,7,8,9,7,8,7,8,7,DESCENDING,2025-07-13T05:42:18.614253Z,139.0,S1A_IW_GRDH_1SDV_20250713T054218_20250713T054243_060061_077642_BC80,1.752385338E12,val,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1,DE18,Freiburg,3,2,3,2,5,5,6,5,5,5,5,5,DESCENDING,2025-07-13T05:43:08.613377Z,139.0,S1A_IW_GRDH_1SDV_20250713T054308_20250713T054333_060061_077642_AAE4,1.752385388E12,test,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1,DE19,Kiel,3,2,3,4,5,5,6,5,5,5,5,5,DESCENDING,2025-07-13T05:41:28.613611Z,139.0,S1A_IW_GRDH_1SDV_20250713T054128_20250713T054153_060061_077642_E147,1.752385288E12,test,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1,DE20,Rostock,3,2,3,5,5,5,6,5,3,5,4,5,ASCENDING,2025-07-13T16:52:51.092456Z,146.0,S1A_IW_GRDH_1SDV_20250713T165251_20250713T165316_060068_077680_CEF2,1.752425571E12,test,"{""type"":""MultiPoint"",""coordinates"":[]}"
