sample_type,city_id,city_name,split,stratum,x,y,crs,pixel_row,pixel_col,highway,estimated_width_m,bare_tier,osm_bare,dw_bare,ua_bare,ua_code,vv,vh,review_decision,review_notes,policy_group,width_bin,policy_review_stratum,policy_question,allowed_decisions,review_order
road,DE15,Leipzig,val,manual_review_candidate|subpixel_lt_10m|residential,304905.8079155203,5698438.300361927,EPSG:32633,743,287,residential,8.0,,,,,,0.06402204185724258,0.003206056309863925,,,manual_review_candidate,subpixel_lt_10m,road_local_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,19
road,DE08,Cologne,train,manual_review_candidate|subpixel_lt_10m|residential,364754.4200745678,5637096.231770016,EPSG:32632,2275,2306,residential,4.0,,,,,,0.06469080597162247,0.009131048806011677,,,manual_review_candidate,subpixel_lt_10m,road_local_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,20
road,DE09,Dusseldorf,train,manual_review_candidate|subpixel_lt_10m|residential,341162.22883073817,5669447.148307173,EPSG:32632,2305,1162,residential,8.0,,,,,,0.22029109299182892,0.02692451886832714,,,manual_review_candidate,subpixel_lt_10m,road_local_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,21
road,DE10,Dortmund,train,manual_review_candidate|subpixel_lt_10m|residential,385058.3172728431,5707213.587174561,EPSG:32632,1584,655,residential,8.0,,,,,,0.2862451374530792,0.030899250879883766,,,manual_review_candidate,subpixel_lt_10m,road_local_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,22
road,DE11,Hamburg,train,manual_review_candidate|subpixel_lt_10m|residential,569569.6452515007,5937520.820441398,EPSG:32632,1151,1873,residential,8.0,,,,,,0.37254875898361206,0.030486129224300385,,,manual_review_candidate,subpixel_lt_10m,road_local_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,23
road,DE12,Bremen,train,manual_review_candidate|subpixel_lt_10m|residential,471927.2825544018,5881211.1480585,EPSG:32632,1489,21,residential,8.0,,,,,,0.25224587321281433,0.046556390821933746,,,manual_review_candidate,subpixel_lt_10m,road_local_subpixel,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,24
road,DE16,Dresden,val,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,414790.9268383008,5655468.678928694,EPSG:32633,1571,1829,living_street,12.0,,,,,,0.10492970049381256,0.020554376766085625,,,likely_ignore_candidate,one_to_two_pixels_10_20m,road_low_priority,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,25
road,DE13,Hanover,train,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,551033.7896171461,5804202.827168673,EPSG:32632,1389,1620,living_street,10.0,,,,,,0.2322026789188385,0.04375576600432396,,,likely_ignore_candidate,one_to_two_pixels_10_20m,road_low_priority,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,26
road,DE14,Berlin,train,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,387271.2135396258,5820290.092180027,EPSG:32633,1478,1049,living_street,11.0,,,,,,0.16107773780822754,0.0324440635740757,,,likely_ignore_candidate,one_to_two_pixels_10_20m,road_low_priority,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,27
road,DE01,Mannheim,train,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,463375.4279804439,5483835.536638871,EPSG:32632,1295,1705,living_street,12.0,,,,,,0.18063808977603912,0.09871862828731537,,,likely_ignore_candidate,one_to_two_pixels_10_20m,road_low_priority,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,28
road,DE02,Heidelberg,train,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,463355.91626774904,5483859.3210944915,EPSG:32632,298,212,living_street,12.0,,,,,,0.309291273355484,0.15342356264591217,,,likely_ignore_candidate,one_to_two_pixels_10_20m,road_low_priority,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,29
road,DE03,Karlsruhe,train,likely_ignore_candidate|one_to_two_pixels_10_20m|living_street,455532.9167237041,5428389.131510033,EPSG:32632,1500,1414,living_street,10.0,,,,,,0.37628045678138733,0.19800838828086853,,,likely_ignore_candidate,one_to_two_pixels_10_20m,road_low_priority,Is a road surface visibly supportable at the 10 m SAR pixel scale?,retain_road|ignore_unresolvable|not_road|uncertain,30
bare_land,DE17,Munster,val,current_v3,406795.6128986948,5763123.641319876,EPSG:32632,943,1619,,,current_v3,1,0,1,13100,0.07223355025053024,0.019832124933600426,,,,,bare_current_v3,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,31
bare_land,DE07,Frankfurt,train,current_v3,475834.50839400734,5538674.574938818,EPSG:32632,2733,1356,,,current_v3,1,0,1,13300,0.10946542024612427,0.01240763533860445,,,,,bare_current_v3,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,32
bare_land,DE08,Cologne,train,current_v3,353904.07368864154,5638630.7336777095,EPSG:32632,2122,1221,,,current_v3,1,0,1,13100,0.09329342842102051,0.015739448368549347,,,,,bare_current_v3,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,33
bare_land,DE09,Dusseldorf,train,current_v3,335196.7297870738,5680206.947899519,EPSG:32632,1229,565,,,current_v3,1,0,1,13100,0.0679275318980217,0.016936281695961952,,,,,bare_current_v3,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,34
bare_land,DE10,Dortmund,train,current_v3,394881.8353732135,5710473.186498104,EPSG:32632,1258,1637,,,current_v3,1,0,1,13100,0.08155831694602966,0.005796897690743208,,,,,bare_current_v3,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,35
bare_land,DE11,Hamburg,train,current_v3,562639.3640108273,5926632.951124841,EPSG:32632,2240,1180,,,current_v3,1,0,1,13100,0.038967180997133255,0.009637966752052307,,,,,bare_current_v3,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,36
bare_land,DE15,Leipzig,val,tier1_ua_dw_new,312769.7504518318,5705143.11673681,EPSG:32633,73,1073,,,tier1_ua_dw_new,0,1,1,13100,0.03172219917178154,0.008956748992204666,,,,,bare_dw_confirmed_new,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,37
bare_land,DE08,Cologne,train,tier2_osm_dw_new,355754.07368864154,5652830.7336777095,EPSG:32632,702,1406,,,tier2_osm_dw_new,1,1,0,12300,0.0310683511197567,0.005056815221905708,,,,,bare_dw_confirmed_new,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,38
bare_land,DE09,Dusseldorf,train,tier2_osm_dw_new,334816.7297870738,5679666.947899519,EPSG:32632,1283,527,,,tier2_osm_dw_new,1,1,0,21000,0.035201676189899445,0.003424128983169794,,,,,bare_dw_confirmed_new,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,39
bare_land,DE10,Dortmund,train,tier2_osm_dw_new,394741.8353732135,5719143.186498104,EPSG:32632,391,1623,,,tier2_osm_dw_new,1,1,0,12100,0.011711761355400085,0.001874961773864925,,,,,bare_dw_confirmed_new,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,40
bare_land,DE11,Hamburg,train,tier2_osm_dw_new,567079.3640108273,5931952.951124841,EPSG:32632,1708,1624,,,tier2_osm_dw_new,1,1,0,12300,0.05314585566520691,0.00835397932678461,,,,,bare_dw_confirmed_new,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,41
bare_land,DE14,Berlin,train,tier2_osm_dw_new,381044.25925275,5823927.1592110265,EPSG:32633,1114,426,,,tier2_osm_dw_new,1,1,0,12100,0.08318833261728287,0.009424766525626183,,,,,bare_dw_confirmed_new,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,42
bare_land,DE17,Munster,val,single_source_osm,415155.6128986948,5754323.641319876,EPSG:32632,1823,2455,,,single_source_osm,1,0,0,21000,0.4175397753715515,0.020908407866954803,,,,,bare_osm_only,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,43
bare_land,DE08,Cologne,train,single_source_osm,344624.07368864154,5640400.7336777095,EPSG:32632,1945,293,,,single_source_osm,1,0,0,12100,0.515681266784668,0.13459433615207672,,,,,bare_osm_only,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,44
bare_land,DE09,Dusseldorf,train,single_source_osm,337906.7297870738,5667786.947899519,EPSG:32632,2471,836,,,single_source_osm,1,0,0,11210,0.10556207597255707,0.010824745520949364,,,,,bare_osm_only,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,45
bare_land,DE10,Dortmund,train,single_source_osm,386051.8353732135,5714733.186498104,EPSG:32632,832,754,,,single_source_osm,1,0,0,23000,0.092499740421772,0.024549700319767,,,,,bare_osm_only,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,46
bare_land,DE16,Dresden,val,single_source_ua,404499.3682870129,5659803.093693569,EPSG:32633,1138,800,,,single_source_ua,0,0,1,13100,0.07553782314062119,0.015988023951649666,,,,,bare_ua_only,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,47
bare_land,DE04,Stuttgart,train,single_source_ua,512132.70616791205,5399454.149969402,EPSG:32632,1809,1369,,,single_source_ua,0,0,1,13300,6.145933151245117,0.8223971128463745,,,,,bare_ua_only,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,48
bare_land,DE05,Munich,train,single_source_ua,703770.145199985,5337875.636082032,EPSG:32632,1166,2667,,,single_source_ua,0,0,1,13300,3.2687172889709473,0.06997616589069366,,,,,bare_ua_only,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,49
bare_land,DE06,Nuremberg,train,single_source_ua,659305.4733126876,5474753.6269730525,EPSG:32632,2003,2379,,,single_source_ua,0,0,1,13300,0.32514455914497375,0.04906338080763817,,,,,bare_ua_only,Is this location genuinely bare/non-vegetated land for the SAR acquisition period?,retain_bare|ignore_temporal_or_ambiguous|not_bare|uncertain,50
